,title,year,duration,genres,rating,synopsis,directors,stars
10,Chief Daddy 2: Going for Broke,2022.0,113,Comedy,3.2,"The Beecroft family are ready to spend all of Chief Daddy's inheritance, but not if the CEO of his company has anything to do with it.",Niyi Akinmolayan,"Chika Agwuike,Dakore Akande,Violet Akhator,Funke Akindele"
11,Xalé,2022.0,101,Drama,7.7,"Senegalese filmmaker Moussa Sène Absa boldly inflects contemporary melodrama with traditional storytelling modes in this potent, music-filled tale of one woman's tragedy and transcendence.",Moussa Sene Absa,"Nguissaly Barry,Mabeye Diol,Ibrahima M'Baye,Rokhaya Niang"
12,Horus,2022.0,96,"Action, Drama, Horror",2.5,"Vampire Horus Jaxon has broken the peace treaty between his kind and the werewolves, igniting a war between rivals.","Chris D. Davison,Trevor G. Ford","Derrick De-Mond,Casey Abell,Staci Abell,James Autry II"
13,Belli ciao,2022.0,90,Comedy,4.9,A comedy about the fateful dilemma that grips the young people of the South: give up everything in search of a better future or stay at home and try to build a possible tomorrow?,Gennaro Nunziante,"Donatella Bartoli,Lorena Cacciatore,Nicasio Catanese,Valeria Cavaliere"
14,Marshall Mu GuiYing,2022.0,80,Action,4.7,,Diao Lu Lu,"Feier Han,Liang Jiaren"
15,BanG Dream! Poppin'Dream!,2022.0,70,"Animation, Comedy, Music",8.0,"After Poppin'Party, Roselia, and RAISE A SUILEN's successful concert at the Budokan, Kasumi and the others, who have left a lingering sound on the stage of their dreams, are approached by a mysterious woman. Their next stage is - overseas?","Masanori Uetaka,Kôdai Kakimoto","Ayane Sakura,Romi Park,Sumire Uesaka,Tomoyo Kurosawa"
16,Wild Life,2022.0,81,Drama,,"The world stops spinning for fifteen year old Rudolph Priest when he survives a deadly school shooting. His heart breaks in two when he realizes his best friend, Donny, did not. Things ...",Calvin Zimmerman,"Jackson Ark,Lauren Edwards,Thatcher Jacobs,Allysia Jensen"
17,Blackstone - Hand of God,2022.0,179,"Horror, Sci-Fi",,Can a small town sheriff and a decorated Vietnam vet lead a ragtag group of survivors to safety in the opening days of the zombie apocalypse?,Gary Piland,"Dusty Nichols,David Crawford,Bruce Smith,Susan King"
18,Crystal,2022.0,90,Horror,,,Roman P. Martinez,"Steve Larkin,Jeffrey Schneider,Joel Austin,Nick Dent"
19,Another Me,2022.0,100,Comedy,4.8,"After finding himself looking exactly the same as the crown prince, a constable decides to change his identity.","Ke Gao,Xiaoming Yang","Li Ma,Yuan Chang,Lun Ai,Qinchuan Feng"
20,Human Hibachi 2,2022.0,83,Horror,8.9,"Set in the deep woods, a cannibal family obsessed with the first ""Human Hibachi"" video have have made it their life's mission to find the only two individuals left from it. If successful, ...",Mario Cerrito,"Julie Chapin,Frank Volpe,Tammy Jean,Giavonna Banner"
21,Sancocho Presidencial,2022.0,90,Comedy,7.4,,Juan Zelaya,"Elmis Castillo,Ana Alejandra Carrizo,Abdiel Tapia,Marcelo Villareal"
22,Shattered,2022.0,80,Sci-Fi,,"With the help of a sarcastic computer hacker Stevie Morris, two detectives, Veronica Heart and Jane Lyon engage in an impossible task of taking down a Russian crime boss lady who has the ...",Thet Win,"Olivia Avery-MacDonald,Andrew Bee,Danny Bronson,Chantel Curry"
23,Nomads vs. Zombies,2022.0,90,"Comedy, Horror, Thriller",8.0,,Otgonzorig Batchuluun,"Ider-Od Bat-Erdene,Sansarmaa Battur,Batmaa Bayarsaikhan,Byambatsogt Dashnyam"
24,The Legend of Red Lake,2022.0,120,"Family, Thriller",,"A broken family, recently restored by Christ, follow God's will to a remote lake with a dark secret.",Cory Warren,"Cory Warren,Jodi Warren,Erica Warren,Cyd Warren"
25,Favor,2022.0,48,"Action, Drama",,Two brothers living separate lives are brought together by tragedy wrought by one simple favor for another in a world where nothing is free.,"Michael Stevens,Keith Williams","Darryl Barnes Jr.,Alfonzo Bell,Jocorey Giddens,Farley Louissaint"
26,Keyon and Paul the Movie,2022.0,60,"Adventure, Comedy",,"In a future where creativity are nearly extinct, an smart and creative Keyon leads to nothing but success. But when Paul, Keyon's best friend, comes to him for help, they decide to start ...",Keyon Harrell,"Keyon Harrell,Paul McGuire"
27,Homeless or Right at Home,2022.0,73,Drama,,Marcus finds himself in a life-or-death situation when he uncovers secrets about his father's empire thanks to a school project and a homeless man.,Kasandra Price,"Tomaz Baskin,Greg Brault,Jeffrey Lee Cheatham II,Christian Cruz"
28,Switch,2022.0,51,Action,,"A rivalry forms between two friends after one is deceived, into believing they were betrayed.",Niruththikan Yogananthan,"Aadhi,Fawaaz Abbas,Aby,Denus Antanythas"
29,Marionetas sin hilo,2022.0,76,Drama,7.2,"A young man living far from his beloved one wastes his existence absorbed in modern distractions until he loses contact with her. Determined to find his love, he embarks on a journey around the world. Not a word is spoken in this film.",José Peña Coto,Jaime María Cortés-Echanove García
30,A Mobster's Daughter/The $treetz 3,2022.0,90,Action,,,Eddie Rocky Rivera,"Kathrina Miccio,John Pasquale,Sammi Rae Murciano,Kenneth Klugewicz"
31,The Detroit Cable Connection,2022.0,92,"Action, Crime, Drama",,A young Detroit hustler falls in love with the woman of his dreams but she wants him out of the game. Now Terris must choose between love and money.,Terris Walker,"Paradyse 'Queen P' Muhammad,Elamin Muhammad Ali,Sonja Muhammad Ali,Jason Amison"
32,My Roommate Enzo,2022.0,80,"Biography, Comedy, Drama",,A film student leaves home for college in the city but gets more than he bargained for when he unknowingly rooms off-campus with a nephew of the Gambino family.,Michael Andres,"Adrian Andres,Shawn Michael Flanagan,Christina Gluszczak,Lana Vanzine"
33,Parole Money,2022.0,50,"Crime, Drama",,A single father and parole officer finds himself on the other side of the law when he realizes his salary isn't enough to buy a home for his family.,Michael Baker,"Samuell 'Bubba' Baker Jr.,Michael 'Kang' Baker Jr.,Michael Baker,Mikahe Baker"
34,Belinda,2022.0,71,Drama,,,Aykan Yucel Irwins,"Atay Akbiyik,Merrilynn Brent,Roger Dvorak,Selani Gokcen"
35,Supercilious,2022.0,9,Animation,,"A young girl leaves negativity behind, and emerges as a successful woman. The story takes viewers on a short but detailed journey of hard work, love and friendships as viewers relate to Belle and her dog.",Sophia Ruby,
36,Zodiac Warriors,2022.0,73,Action,,,Longlong Wang,"Liu Jikai,Yong Xu,Liu Yitong"
37,Çapar,2022.0,98,"Drama, History",,"A young man who, by the will and important order of the Turkmen ruler, sets off on a long journey. On the way, many exciting adventures, trials, and encounters await him.",Wepa Isangulyyew,"Didar Kowusow,Syhmämmet Mollaýew,Döwran Muhammedow"
38,Beautiful Liar,2022.0,101,Drama,,,Emmanuel Anyaka,"Favour Akpan,Onyii Alex,John Chukwudi,Mark Denis"
39,Indebted,2022.0,93,"Drama, Romance",,Karen is not giving up on her long-term relationship. How far will she have to go to prove her love-or will she let go before it's too late?,Sunshine Olawore,"Tana Adelana,Helene Asante,Tina Destiny Jjorm,Jeffery Nortey"
40,The Last Botero,2022.0,90,Comedy,,The fascinating story of a Fernando Botero sculpture that was real one minute and gone the next .,,
41,Baagban,2022.0,149,Drama,,,Ankit Patel,"Jayendra Mehta,Jignesh Modi,Charu Patel,Ragini Shah"
42,Jolly Rogers,2022.0,48,"Comedy, Crime, Drama",,"Samuel and Theo are two Germans stranded in Vietnam. Lethargic and sweaty, they spend their time in a bar called Jolly Rogers, a place where all sense of time is lost. In loose snippets, ...",Alexander Schröder,"Thomas Arnold,Trang Le Hong,Lilli Lorenz,Matthias Scheuring"
43,Spem in Alium,2022.0,92,"Fantasy, Mystery, Sci-Fi",,It's a mystery.,Matt Orefice,"Meredith Binder,Briana Bui,Travis Doane,S. Joe Downing"
44,Final Hope,2022.0,79,"Action, Adventure, Drama",,"Joshua Tajim, after heavy loss and a world turned upside dizzy, travels to Fort Henry, Oklahoma, to be extracted to the Safe Zone in Michigan. The journey to The Safe Zone will be many things. Anything except easy.",Evan Kascinde,"Marco Aiello,Mia Baumba,John Brackson,Dolan Darima"
45,Judas,2022.0,106,Drama,,A pair of veteran lobbyists who work for one of Nigeria's biggest firms get wind of a multi-million dollar contract and decide to go after it.,Chukwuma Emma-Ogbangwo,"Tamara Eteimo,Joel Evans,Malcolm Ifedeora,Amanda Iriekpen"
46,Gigi's wake,2022.0,94,Drama,,"After years of battling cancer, Gigi, Tari, and Kachi's daughter dies. This loss leads to the unveiling of secrets and betrayal from loved ones.",God'spower Okoh,"Ajala Adedayo,Omolafe Ajuior,Tayo Arimoro,Peace Christopher"
47,"MULT v kino 134. Sanki, gorki, dva konka",2022.0,47,Animation,,"Sanya and Sonya will cover the ice slide with sand, Katya and Ef will go to the Eskimos, the Kitties and Dogs will teach Dan to skate, Leo and Tig will find out if a werewolf exists, and ...","Mariya Bystrova,Anastasiya Chernova,Aleksey Mironov,Stanislav Shakhov",
48,Jumps & Pounds,2022.0,48,,,,Mike Wivell,"Randy Bottle,Jack Brink,Bruce Cutknife"
49,The Day the Earth Dies,2022.0,90,Thriller,,Futuristic look at the Earth in 2087 as the last humans are lifted off the planet.,Michael Redwood,
50,Arsenal - Manchester City,2022.0,99,Crime,,,,
51,His Guest,2022.0,10,Drama,,"A few weeks to their wedding, Ifeoma and Deji agreed to host Cynthia on behalf of their friend; Victor. This decision changed the event of the night.",Adetola Adetayo,"Samuel Idiake,Florence Imo,Abel Ukpong,Amarachi Favour Uzoigwe"
52,Lacrime Di Natale,2022.0,67,"Drama, Family",,,Donovan Pontoriero,"Davide Balluchi,Davide Giacomelli,Valerio Lupi,Niccolò Di Mauro"
53,Memories of Tomorrow,2022.0,120,Thriller,,"When a smart and beautiful young interior designer by the name of Nora takes a job at a hostel in a sleepy hill town, famous for its picturesque landscape, she can't begin to imagine what weird and dreadful experiences await her.",Min Thu Aung,"Kyaw Kyaw Bo,Sai Hsai Hlaing,May"
54,Those Who Return,2022.0,120,Drama,,,Chandler Bolt,"Lilly Lev,Clint Riffo"
55,The Definitive Bloxskit Collection of 2021,2022.0,158,Comedy,,"Bloxskit, BrokenChannel and The Quantum Knight play through various comedy and drama shorts where danger is always nearby.",Bloxskit,"Bloxskit,BrokenChannel,The Quantum Knight"
56,The Mummy: Resurrection,2022.0,85,Horror,3.0,"When an infamous ""cursed"" Egyptian sarcophagus falls into the hands of unscrupulous huckster Everett Randolph, he becomes obsessed with resurrecting the mummified princess held within it.",Steve Lawson,"Chris Bell,Rafe Bird,Dawn Butler,Marcus Langford"
57,Deadly Garage Sale,2022.0,88,Thriller,5.5,"When thieves rob the garage sale of suburban mom Marcia, a struggle ensues, and one of the thieves is killed. Unbeknownst to Marcia, the dead thief's sister returns, masquerading as a kind ...",Doug Campbell,"Aryè Campos,Juliana Destefano,Autumn Noel,Matthew Pohlkamp"
58,Death Shot,2022.0,88,"Crime, Drama, Horror",7.1,"A retired gangsters life is ruined by Intrusive violent visions, hallucinations and flashbacks from his past, all of which are played out to an awesomely dark soundtrack..",Paul T.T. Easter,"Paul T.T. Easter,Anna Hewison,Johnny Lynch,Wayne Philips"
59,Solnechnaya liniya,2022.0,68,Comedy,5.2,New year's night. He and she. The guests have dispersed and it's time to find out the relationship - do they love each other or no longer?,Boris Khlebnikov,"Andrey Burkovskiy,Yuliya Peresild"
60,Kafir,2022.0,116,Drama,,,Vino Nair,"Nina Kurup,Veena Nair,Prathap Pothen"
61,Presa Nocturna,2022.0,125,"Drama, Horror, Mystery",9.4,"A Murderer named ""The Umbrella Man"" starts killing one person per night in a town called ""Jalos"" A Detective must stop this nightmare next to the Commander of the town, who nobody trusts.",Miguel Angel Pérez,"Miguel Angel Ramírez,Anthony Jiménez,Cecilia Suárez,Aalan Kingnbear"
62,Karen's Self Defense,2022.0,90,Comedy,,,Chase Stanley,"Jennifer Anderson,Trevor Ashbrook,Suzanne M. Hefni-Pyle,Corinne Laurance"
63,Pink and Tinged with Lavender,2022.0,17,Romance,,"When seemingly platonic best friends Gen and Clem find a series of love letters written between their great-grandmothers in the 1930s, they go on a quest to uncover more about their hidden relationship.",Regan Lavin,"Keely Broderick,Regan Lavin"
64,Chelsea - Liverpool,2022.0,99,Drama,,,,
65,The Jack in the Box: Awakening,2022.0,93,Horror,4.4,"When a vintage Jack-in-the-box is opened by a dying woman, she enters into a deal with the demon within that would see her illness cured in return for helping it claim six innocent victims.",Lawrence Fowler,"Matt McClure,James Swanton,Mollie Hindle,Nicola Wright"
66,Stampede,2022.0,85,Western,,"Set in the old west of 1897, Michelle, the daughter of a wealthy cattle rancher in Santa Fe, New Mexico, runs away to join a cattle drive to Albuquerque. On the way she encounters a ...",David Rambaldi,"Jesus Banuelos,Marcus DeVries,Ray J. Martinez,Sarah Ureta"
67,Something Just Ain't Right,2022.0,105,"Comedy, Drama, Romance",,"'Something Just Ain't Right' centers around a woman named Mary Weatherly, who discovers that her husband Robert has been unfaithful. After investigating, she realizes that his outside ...",Allison Sanders,
68,Dead Hunt Remastered,2022.0,100,Horror,,,Erik Blanc,"Sydney',Vincent Bailleul,Franck Beyna,Frederic Souterelle"
69,Confession,2022.0,80,"Action, Thriller",4.0,"One church, one priest, a wounded man and his loaded gun. An intense thriller played out in real time during one night where a vengeful confession must take place.",David Beton,"Stephen Moyer,Colm Meaney,Clare-Hope Ashitey,Kris Johnson"
70,Nightshade,2022.0,90,Thriller,3.9,"When a homicide detective's disturbing dreams reveal parallels to an ongoing investigation, he must do whatever it takes to discover his connection to the brutal killings.",Landon Williams,"Dina Meyer,Jason Patric,Lou Ferrigno Jr.,James Duval"
71,Vampfather,2022.0,93,"Fantasy, Horror",5.7,"Reeling from a family tragedy, a beautiful vampire who dreams of becoming human must unmask a deranged killer before the blame falls on her.",Stuart Paul,"Alix Villaret,Danny Trejo,Tom Sizemore,Marcus Shirock"
72,Iris Warriors,2022.0,80,"Family, Fantasy, Musical",4.8,"The Iris Warriors have brought light and beauty to the world, but when their bitter mother, Darkness, threatens to destroy them, they must find a way to work together to defeat her and bring colour back to their universe.",Roydon Turner,"Jessica Brown Findlay,Cindy Okkers,Sven-Eric Muller,Henk Opperman"
73,Monsters in the Closet,2022.0,89,"Comedy, Thriller",3.5,A horror's author's stories come to life when read out loud.,"Spencer Snygg,Zachary Snygg","Luke Couzens,Valerie Bittner,Tom Cikoski,Camilla Crawford"
74,Rucker,2022.0,96,"Drama, Horror, Thriller",2.9,A trucker attempts to reconnect with his family by killing women who remind him of his ex-wife.,Amy Hesketh,"Bobby C. King,Cheyenna Lee,Corey Taylor,Chloe Jacobson"
75,Dragon: The Weapon of God,2022.0,106,"Action, Adventure, Fantasy",1.5,A teen with superhero powers leads an underground group formed to bring down the establishment after the mayor of New York City intensifies police brutality towards blacks and calls for a citywide purge.,Alexander Bok,"Alexander Bok,Alexis Abrams,Sean Ian,Midanah Penda"
76,The Narrow Bridge,2022.0,80,Drama,7.9,"At the heart of the film is the story of a young talented artist Kiril, in whose fate persistently puts a weapon in his hand instead of a brush. Demanding from him the life of a warrior, not a painter.",Boris Kvashnev,"Zaza Chanturiya,Borys Heorhievskiy,Irakli Maruashvili,Roman Matsyuta"
77,Sheer Pandemic,2022.0,104,Comedy,4.8,Two unemployed friends become entangled with a gangster once the money starts rolling in after selling black-market toilet paper during a pandemic.,"Grant Davis,Chason Laing","Kris Clinton,Theo Bray,Robin Clayton,Grant Davis"
78,The Get Lost Losers,2022.0,93,"Comedy, Musical",8.1,THE GET LOST LOSERS follows the most cantankerous rock band in Hollywood as it prepares for a super-clutch industry showcase and one last shot at fame.,Chaz Moore,"Jason Sereno,Anthony Marks,Christophe Zajac-Denek,Orly Gal"
79,Complicated,2022.0,91,Drama,,,Emmanuel Anyaka,"Onyii Alex,M.C. Chucks,Ken Erics,Moyo Lawal"
80,Forbiddance,2022.0,87,Drama,4.7,Morteza returns home from prison and falls in love but this is only the beginning of his troubles.,Majid Mafi,"Sam Derakhshani,Afsaneh Chehreh Azad,Karim Mohammad Amini,Mahmoud Jafari"
81,First Last Man,2022.0,326,Mystery,,"The journey of a man who seeks his very beginning as a human and his approaching end in humanity. In this journey his father, mother, brother, daughter and a mysterious voice accompany him....",Kerem Duymus,
82,Cupid 2,2022.0,64,Family,,"Valentine's Day is fast approaching and little does Cupid know, his powers have been crossed with Doodley Digs' the goofy little man who lives inside a videogame. Will Hatter solve the ...",Kelly Little,
83,The Lost Race: London to Holyhead,2022.0,61,Sport,,"Ex-pro cyclist Conor sets out to complete the epic route of the fabled London to Holyhead - once the world's longest bike race. 427km long, with only 9 editions races from 50s to 70s, Conor will be riding into the annals of history.","Sid Barras,Conor Dunne,Keith Lambert",
84,Ondertussen Aan De Hofvijver,2022.0,42,,,,Splinter Chabot,
85,Stuck,2022.0,75,Drama,,"When Josh a film director loses his creative juices, his entire world is turned upside down. Then he finds himself even more stuck - in an impossible reality when he is quarantined in his home following the outbreak of the Coronavirus.","Victor Braun,Alon Newman","Josh Sagie,Hila Friedman,Ana Kriwisky-Enosh,Alon Newman"
86,"Old Dogs, Dirty Tricks",2022.0,82,"Comedy, Mystery",,"After getting a sober look at the pitiful size of their Social Security checks, two determined senior-aged women, Marilee Hunt and Vera Pace, start an antiques business: Old Dogs Antiques ...",Charles Carr,"Lolly Boroff,Marcelle Caratti,Charles DeNatale,Elizabeth Betsy Toker"
87,The 355,2022.0,122,"Action, Thriller",5.5,"When a top-secret weapon falls into mercenary hands, a wild-card C.I.A. agent joins forces with three international agents on a mission to retrieve it, while staying a step ahead of a mysterious woman who's tracking their every move.",Simon Kinberg,"Jessica Chastain,Penélope Cruz,Bingbing Fan,Diane Kruger"
88,The Cellar,2022.0,94,"Horror, Mystery",5.3,Keira Woods' daughter mysteriously vanishes in the cellar of their new house. She soon discovers there is an ancient and powerful entity controlling their home that she will have to face or risk losing her family's souls forever.,Brendan Muldowney,"Elisha Cuthbert,Eoin Macken,Abby Fitz,Dylan Fitzmaurice Brady"
89,How I Fell in Love with a Gangster,2022.0,185,"Crime, Drama",6.0,"A mysterious woman recounts the rise and fall of Nikodem ""Nikos"" Skotarczak, one of the biggest gangsters in Poland's history.",Maciej Kawulski,"Tomasz Wlosok,Aleks Kurdzielewicz,Antoni Królikowski,Agnieszka Grochowska"
90,Four to Dinner,2022.0,105,"Comedy, Romance",6.3,"In this rom-com challenging the concept of soulmates, parallel storylines portray four single friends as they pair up in different couple combinations.",Alessio Maria Federici,"Ilenia Pastorelli,Matilde Gioli,Giuseppe Maggio,Matteo Martari"
91,The Crime,2022.0,127,"Action, Crime, Thriller",6.1,A man named Adel. He is an elderly man who lives in a psychiatric clinic. The story talks about the period of Adel's life in the seventies . He is married to a girl called Nadia . The events revolve around the disappearance of Nadia.,"Sharif Arafah,Mohamed Nasser Hamza","Ahmed Ezz,Menna Shalabi,Maged El-Kidwani,Haggag Abdulazim"
92,The Policeman's Lineage,2022.0,119,"Crime, Drama, Thriller",6.1,Parasite's Woo-sik Choi stars as one of the two cops with different methods teaming up to investigate a case that turns the police force upside down.,Kyu-maan Lee,"Cho Jin-woong,Choi Woo-sik,Hee-soon Park,Kwon Yul"
93,For Zeko,2022.0,95,"Comedy, Drama",6.3,"Zeko, the only child from a dysfunctional family, has won a chance to compete in a contest for smartest kid in the country. Filled with hope, whole family sets out on a two day road trip.",Peter Mimi,"Kareem Mahmoud Abdel Aziz,Menna Shalabi,Amr Abdulgalil,Mahmood Hafez"
94,Grandpa's Crazy?,2022.0,100,"Comedy, Drama, Family",8.6,"Gramps was feeling forgotten, so he pretended to get lost to get some attention from his family - it backfired, big time. His family decided to have him declared incompetent, but the kids from the skate park came to his rescue.",K. Danor Gerald,"Mason D. Davis,Eric Osmond,K. Danor Gerald,Renny Grames"
95,Motorvation,2022.0,97,Comedy,7.8,"A small-town janitor / motivational speaker, stumbles along through life, until he has a personal revelation and begins 'un-motivating' the town, turning everything upside down in the process.",Angus Benfield,"Angus Benfield,Cammy Brickell,Christopher Wiehl,Lance Bonza"
96,D Is for Detroit,2022.0,95,"Drama, Romance, Thriller",9.2,"With nothing left but regret and destitution, a well bred soul embarks on a journey to salvation on a tropical desire of sunshine, music and hope from the bleak urban underworld he has become accustom to.",Israr Azam,"Nicky Allen,Adam Anouer,Arturo Balcalis,Mish Boyko"
97,Mutlu Aile Tablosu,2022.0,108,Comedy,6.1,"Rifat, who can not hold on to any job, reunites with Nalan, who is patiently waiting for him, and comes to a dead end with the inheritance that suddenly appears. Thinking that they can ...",Ömer Faruk Yardimci,"Ulas Torun,Seda Türkmen,Cemil Sahin,Ceyda Olguner"
98,A Polished Soul,2022.0,94,Drama,9.2,"Take a journey with Mike Rae Anderson, an award winning Film Maker and Television and film actor and see how the streets took him down a path of facing death row and conquering his demons.",Mike Rae Anderson,"Kareem L. Alston,Malachi Elijah Anderson,Obba Babatundé,Jon Blaq"
99,Funhouse,2022.0,96,Comedy,,Eliza Hill comes home after a long shift at the Bubba Gump Shrimp Company in Times Square to find that her unemployed roommate has set up a talk show in their living room. From there guests...,Charlotte Martin,"Nyani Totty,Colin Paul,Rene Henry,Joshua R. Pangborn"
100,O Deuteros Lenin,2022.0,120,Drama,,A revolutionary Socialist group undergoes major transformations once the head leader turns his organisation into what resembles a Lenin-inspired political cult.,Kostas Viougoukas,"Chris Georgiadis,Elisavet Ioannou,Tina Kilberg,Panagiotis Kostidou"
101,Carabao Cup Semi-Final 1st leg Chelsea vs Tottenham Hotspur,2022.0,95,Sport,,,,
102,The King's Daughter,2022.0,98,"Action, Adventure, Family",5.1,"King Louis XIV's quest for immortality leads him to capture and steal a mermaid's life force, a move that is further complicated by his illegitimate daughter's discovery of the creature.",Sean McNamara,"Pierce Brosnan,Kaya Scodelario,William Hurt,Benjamin Walker"
103,Project 'Gemini',2022.0,98,"Adventure, Sci-Fi, Thriller",3.4,"A sci-fi thriller about a space mission sent to terraform a distant planet. However, the mission encounters something unknown that has its own plan for the planet.",Serik Beyseu,"Egor Koreshkov,Alyona Konstantinova,Samoukov Kostya,Dmitriy Frid"
104,Book of Love,2022.0,106,"Comedy, Romance",5.5,A British writer realizes that his novel is a success in Mexico because a peculiar translation of it.,Analeine Cal y Mayor,"Sam Claflin,Remmie Milner,Antonia Clarke,Lucy Punch"
105,The Grandson,2022.0,115,"Action, Drama, Thriller",7.0,"After his grandfather falls victim to an elaborate scam, the life of a young man is turned upside down.",Kristóf Deák,"Gergely Blahó,Tamás Jordán,Gábor Jászberényi,Judit Pogány"
106,Cassiopeia,2022.0,101,Drama,6.8,"Soo-Jin tries to live a perfect life as a lawyer and mother after divorce. Soo-Jin hears the she has Alzheimer's. Her father, In-Woo begins to accompany Soo-Jin and her daughter so that they can live even if she forgets her memories.",Yeon-Shick Shin,"Sung-Ki Ahn,Hyeon-jin Seo"
107,Mr. Earth,2022.0,112,Sci-Fi,5.5,An ordinary earthling is captured at random and taken to a mysterious planet to stand trial for the fate of planet earth.,Scott Lambson,"Chandler Holloway,McKenna Flory,Kiera Saunders,Ben Burnett"
108,Dancer in Danger,2022.0,83,Thriller,5.8,An online dance contest turns deadly when an unknown assailant attacks and abducts a woman's teenage daughter.,Chris Jaymes,"Lauren Albo,Chelsea Rose Cook,Dylan Flynn,Emma Jessop"
109,All 4da Green,2022.0,75,"Crime, Drama, Music",8.9,"A paper chasing young hustler who finds himself trapped in a world of money, sex & mayhem.",Joshua Sporti-g Wheeler,"Joshua Sporti-g Wheeler,Xavier Jones Sr.,Paco Loko,Kierra Lavixx"
110,"Yo, traidor",2022.0,105,Drama,5.9,A young businessman tries to start a fishing company in a remote town in the Argentine Patagonia.,Rodrigo Fernández Engler,"Mariano Martínez,Francisco Cataldi,Renzo Fabiani,David Kloehr"
111,Un Romance Singular,2022.0,85,Comedy,,"A conservative guy meets a former sex worker, and they both fall in love that day. However, they both have secrets that the other doesn't know.",Wesley Verástegui,"Javiera Arnillas,Marina Kapoor"
112,My Wacko Parents,2022.0,85,Comedy,,"Tanya's parents are Russian spies posted as a sleeper's cell to North America. With no mission, they got a lot of time in their hands. So, they spend most of it spying on their daughter.",Tina Adams,"Liliana Komorowska,Luc-Martial Dagenais,Lucie Vondrácková,Tina Adams"
113,Xin xi yuan lu,2022.0,92,"Fantasy, Thriller",,"There are frequent disasters in Linglong Town, and there are rumors that they are caused by dragons. Young boys and girls must be sacrificed in the dragon's well to feed the dragons in ...",Fogo Ruan,"Bobbie Au-Yeung,Zhao Yi Bei,Yu Lv,Yun Shao"
114,Dzhigalou,2022.0,88,Comedy,3.6,"Moscow is a city of women. Both fatal, greedy beauties and naive, hungry for relationships, materially prosperous virgins live here in huge numbers. It is the latter that Vova and Edik use for their commercial purposes.",Ruslan Baltzer,"Dzhon Bakhanbaev,Pavel Barshak,Filipp Blednyy,Nikita Dzhigurda"
115,Juventus FC contro SSC Napoli,2022.0,97,,,,,
116,Oslacraft: the movie,2022.0,76,Action,,Oscar gets stuck in an alternate dimension in which the hacker was successful with his takeover from episode 16 and so he must defeat him along with alternate version of some familiar faces,Oscar Byrne,"Oscar Byrne,Tom Chapman-fox,Jack Helm,Freddie Potts"
117,The Commando,2022.0,93,"Action, Thriller",3.3,A DEA agent returns home with PTSD after a botched mission and must now protect his family from a home invasion when a recently freed convict and his henchmen come after their stash of millions hidden inside of the agent's home.,Asif Akbar,"Mickey Rourke,Jeff Fahey,Michael Jai White,Brendan Fehr"
